offer_id,offer_type,fa_title,en_title,upc_code,offer_calculation,accumulator_id,flag_offer_id,max_amount,amount_unit,only_full_rate
62661,data,5 گیگ اینترنت 30 روزه + اشتراک رایگان لنز 26800ت,5GB Data 30days + Free lenz subscription 26800T,26800,normal,,,,,
62662,data,7 گیگ اینترنت 30 روزه + اشتراک رایگان لنز 32100ت,7GB Data 30days + Free lenz subscription 32100T,32100,normal,,,,,
62663,data,9 گیگ اینترنت 30 روزه + اشتراک رایگان لنز 38900ت,9GB Data 30days + Free lenz subscription 38900T,38900,normal,,,,,
62664,data,10 گیگ اینترنت 30 روزه + اشتراک رایگان لنز 40500ت,10GB Data 30days + Free lenz subscription 40500T,40500,normal,,,,,
62665,data,12 گیگ اینترنت 30 روزه + اشتراک رایگان لنز 43000ت,12GB Data 30days + Free lenz subscription 43000T,62665,normal,,,,,
52773,data,7 روزه 7گیگ,7 Days 7GB TDD,PO1133JNL,normal,,,,,
52774,data,7 روزه 14گیگ,7 Days 14GB TDD,PO1134JKZ,normal,,,,,
52775,data,30 روزه 10گیگ,30 Days 10GB TDD,PO1135RUW,normal,,,,,
52776,data,30 روزه 15گیگ,30 Days 15GB TDD,PO1136RUW,normal,,,,,
52777,data,30 روزه 30گیگ,30 Days 30GB TDD,PO1137JNL,normal,,,,,
52778,data,30 روزه 50گیگ,30 Days 50GB TDD,PO1138JNL,normal,,,,,
52779,data,30 روزه 90گیگ,30 Days 90GB TDD,PO1139JKZ,normal,,,,,
52780,data,90 روزه 60گیگ,90 Days  60GB TDD,PO1140JNL,normal,,,,,
52781,data,90 روزه 120گیگ,90 Days  120GB TDD,PO1141RUW,normal,,,,,
52782,data,90 روزه 240گیگ,90 Days  240GB TDD,PO1142JNL,normal,,,,,
52783,data,180 روزه 100گیگ,180 Days  100GB TDD,PO1143JKZ,normal,,,,,
52784,data,180 روزه 150گیگ,180 Days  150GB TDD,PO1144RUW,normal,,,,,
52785,data,180 روزه 300گیگ,180 Days  300GB TDD,PO1145RUW,normal,,,,,
52786,data,180 روزه 500گیگ,180 Days  500GB TDD,PO1146RUW,normal,,,,,
52787,data,365 روزه 200گیگ,365 Days 200GB TDD,PO1147JKZ,normal,,,,,
52788,data,365 روزه 400گیگ,365 Days 400GB TDD,PO1148RUW,normal,,,,,
52789,data,365 روزه 600گیگ,365 Days 600GB TDD,PO1149JKZ,normal,,,,,
52880,data,30 روزه 100گیگ (2تا7),30 Days 100GB TDD (2-7AM),PO1124JKZ,normal,,,,,
52881,data,30 روزه 200گیگ (2تا7),30 Days 200GB TDD (2-7AM),PO1125RUW,normal,,,,,
52882,data,30 روزه 300گیگ (2تا7),30 Days 300GB TDD (2-7AM),PO1126JKZ,normal,,,,,
52758,data,بسته 30 روزه 50گیگابایتی اولیه TDD,30Days 50GB Initial Pre TDD,779817,normal,,,,,
52760,data,بسته 90 روزه 100گیگابایتی اولیه TDD,90Days 100GB Initial Pre TDD,1605505,normal,,,,,
52762,data,بسته 180 روزه 200گیگابایتی اولیه TDD,180Days 200GB Initial Pre TDD,3165138,normal,,,,,
52764,data,بسته 365 روزه 300گیگابایتی اولیه TDD,365Days 300GB Initial Pre TDD,4724771,normal,,,,,
52766,data,بسته 30 روزه 20گیگابایتی اولیه TDSIM,30Days 20GB Initial Pre TDSIM,458716,normal,,,,,
52768,data,بسته 90 روزه 40گیگابایتی اولیه TDSIM,90Days 40GB Initial Pre TDSIM,853211,normal,,,,,
81955,voice,5 ساعت مکالمه ایرانسلی,5Hours onnet voice,PO1150NUD,normal,,,,,
61395,data,44گیگ رایگان برای امروز,44GB free data for today,O21992,normal,,,,,
71070,data,بسته روزانه 500 مگابایت(2تا7صبح),Daily 500MB Internet(2-7AM),71070,normal,,,,,
71072,data,بسته هفتگی 2 گیگابایت(2تا7صبح),Weekly 2GB Internet(2-7AM),71072,normal,,,,,
71073,data,بسته هفتگی 5 گیگابایت(2تا7صبح),Weekly 5GB Internet(2-7AM),71073,normal,,,,,
85816,data,5گیگ+5ساعت مکالمه ایرانسلی,5GB + 5Hour onnet voice,PO1095AFC,normal,,,,,
62650,data,3گیگ اینترنت هدیه ویژه صعود از مرحله گروهی جام‌جهانی,3 GB Gift Data for Advancing to World Cup Knockout Stage,62650,normal,,,,,
85587,data,ماهانه 2 گیگ و 20 دقیقه مکالمه و 20 پیامک,Monthly 2GB + 20 Min Callback Voice + 20 SMS,85587,normal,,,,,
85588,data,ماهانه 5 گیگ و 50 دقیقه مکالمه و 50 پیامک,Monthly 5GB + 50 Min Callback Voice + 50 SMS,85588,normal,,,,,
85589,sms,هفتگی 90 دقیقه مکالمه و 90 پیامک,Weekly 90 Min Callback Voice + 90 SMS,85589,normal,,,,,
85354,data,20گ و 22ساعت مکالمه درون شبکه 15 روزه,20GB + 22Hour onnet voice 15 days,85354,normal,,,,,
